,name,link,price,area,valueperm2,Quartos,Suítes,Garagens,Condomínio R$,Cidade,IPTU R$,Total de Andar do Empreendimento,Área Total,Nome do Edifício,Área Terreno,Aceita Permuta,Posição do Sol,Posição do Imóvel,Andar do Apartamento,Unidades no Andar,Aceita Financiamento
1092,SGCV Lote 13,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-13-513144,1.580,"30,00",52,1,1,,645,BRASÍLIA - PARK SUL,137,,"30,00 m²",,,,,,,,
1093,Condomínio Jardim Botânico VI LOTE 05,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardim-botanico-brasilia-df-condominio-jardim-botanico-vi-592072,1.700,"80,00",21,2,1,,,BRASÍLIA - JARDIM BOTANICO,,,,,,,,,2° Andar,,
1094,QMSW 6 LOFT  - MADSON,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-6-391591,2.000,"42,00",47,1,1,1,595,BRASÍLIA - SUDOESTE,,,,MADSON,,,,Lateral,1° Andar,,
1095,SCLRN 710 Bloco F Confortável kitnet na Asa Norte,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sclrn-710-bloco-f-502808,1.000,"24,42",40,1,,,,BRASÍLIA - ASA NORTE,231,,,,,,,,,,
1096,SMPW Quadra 13 Conjunto 6,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-way-brasilia-df-smpw-quadra-13-conjunto-6-600430,2.500,"55,00",45,1,,1,200,BRASÍLIA - PARK WAY,,,"55,00 m²",,,,,,,,
1097,SQN 310 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-310-bloco-b-564132,4.800,"147,00",32,3,1,1,,BRASÍLIA - ASA NORTE,,6 Andares,,,,,,,,,
1098,SCRN 710/711,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-710-711-109975,2.100,"45,00",46,1,,,240,BRASÍLIA - ASA NORTE,47,,,,,,,,,,
1099,Condomínio Mansões Serranas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardim-botanico-brasilia-df-condominio-mansoes-serranas-566682,1.500,"70,00",21,2,,1,,BRASÍLIA - JARDIM BOTANICO,,,"420,00 m²",,,,,,,,
1100,CLN 113 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-113-bloco-a-520804,760,"21,00",36,1,1,,280,BRASÍLIA - ASA NORTE,,,,,,,,,,,
1101,SGAS 910,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sgas-910-500458,920,"30,00",30,1,,,290,BRASÍLIA - ASA SUL,,,"30,00 m²",,,,,,,,
1102,SCLRN 712 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sclrn-712-bloco-g-588214,1.500,"47,00",31,2,,,100,BRASÍLIA - ASA NORTE,115,2 Andares,,,,,,,2° Andar,,
1103,SQN 112 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-112-bloco-k-541646,4.800,"130,00",36,2,,1,950,BRASÍLIA - ASA NORTE,349,,"130,00 m²",,,,,,,,
1104,CLN 208 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-208-bloco-b-83931,800,"25,00",32,1,,,223,BRASÍLIA - ASA NORTE,,,"27,34 m²",,,,,,,,
1105,SQS 303,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-303-590739,6.000,"110,00",54,3,1,1,,BRASÍLIA - ASA SUL,,6 Andares,,,,,Perpendicular,Meio,3° Andar,4,
1106,SQN 313 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-313-bloco-g-318524,4.000,"119,00",33,3,1,1,790,BRASÍLIA - ASA NORTE,,6 Andares,"140,00 m²",,,,,,,,
1107,SGAN 915 SGAN 915 MÓDULO F,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-915-586260,1.400,"29,00",48,1,,,323,BRASÍLIA - ASA NORTE,73,,,,,,,Lateral,,,
1108,QC 4 Rua D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-4-rua-d-588037,1.300,"48,00",27,2,,,477,BRASÍLIA - JARDINS MANGUEIRAL,,,,,,,,,,,
1109,SCRN 708/709 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-708-709-bloco-c-124300,780,"36,00",21,1,,,320,BRASÍLIA - ASA NORTE,,,"36,00 m²",,,,,,,,
1110,SCLRN 709 Bloco C,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sclrn-709-bloco-c-512700,750,"40,00",18,1,,,200,BRASÍLIA - ASA NORTE,1.400,3 Andares,,,,,,Lateral,2° Andar,2,
1111,CCSW 2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-ccsw-2-254428,3.500,"52,00",67,2,1,1,558,BRASÍLIA - SUDOESTE,,,"95,00 m²",,,,,,1° Andar,,
1112,QMSW 4 Lote 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-4-lote-4-12810,1.200,"30,00",40,1,,1,344,BRASÍLIA - SUDOESTE,723,,"52,00 m²",,"52,00 m²",,,,,,
1113,SQN 412 Bloco L,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-412-bloco-l-191762,3.100,"77,00",40,3,,,740,BRASÍLIA - ASA NORTE,105,,"77,00 m²",,,,,,,,
1114,CA 05,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-05-560169,1.800,"57,00",31,2,1,1,836,BRASÍLIA - LAGO NORTE,180,,,,,,,,2° Andar,,
1115,CLN 201 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-201-bloco-b-594204,1.100,"44,57",24,1,1,,340,BRASÍLIA - ASA NORTE,1.394,1 Andar,"44,57 m²",,,,,,,,
1116,SQN 107,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-107-597922,5.000,"119,00",42,3,1,1,800,BRASÍLIA - ASA NORTE,,,,,,,,,,,
1117,SQS 311 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-311-bloco-e-584167,2.900,"85,00",34,2,,,1.065,BRASÍLIA - ASA SUL,262,,"85,00 m²",,,,,,,,
1118,QC 5,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-5-567255,1.500,"48,00",31,2,,1,0,BRASÍLIA - JARDINS MANGUEIRAL,0,,"48,00 m²",,,,,,,,
1119,SQS 413 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-413-bloco-f-82838,1.800,"56,70",31,2,,,440,BRASÍLIA - ASA SUL,,3 Andares,"56,70 m²",,,,,,3° Andar,2,
1120,SHCGN 705 Bloco F,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-shcgn-705-bloco-f-164007,1.000,"23,00",43,1,,,,BRASÍLIA - ASA NORTE,58,,"23,00 m²",,,,,,,,
1121,QC 10 Rua B,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-10-rua-b-593795,1.400,"54,00",25,2,,1,323,BRASÍLIA - JARDINS MANGUEIRAL,,3 Andares,,,,,Nascente,Frente,1° Andar,4,
1122,CLN 405 Bloco D,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-405-bloco-d-597494,749,"28,00",26,1,,,379,BRASÍLIA - ASA NORTE,141,,,,,,,,,,
1123,SGCV Lote 11,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-11-381010,1.200,"30,00",40,1,,1,,BRASÍLIA - PARK SUL,,,,,,,,,,,
1124,SQNW 305 Bloco A ED. RESERVA CAPITAL,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-305-bloco-a-582039,4.600,"76,00",60,2,1,1,935,BRASÍLIA - NOROESTE,481,6 Andares,,,,,Perpendicular,Meio,3° Andar,,
1125,SQN 402 Bloco T,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-402-bloco-t-117514,2.900,"70,00",41,2,,2,1.057,BRASÍLIA - ASA NORTE,1.467,,,,,,,,,,
1126,SHTN Trecho 1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-1-590304,4.550,"38,00",119,1,1,1,,BRASÍLIA - ASA NORTE,,3 Andares,"38,00 m²",,,,,,1° Andar,,
1127,SQN 309 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-309-bloco-a-603822,3.100,"73,00",42,2,,,670,BRASÍLIA - ASA NORTE,148,,,,,,,,,,
1128,SQS 206 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-206-bloco-h-440640,3.800,"120,00",31,3,1,,1.350,BRASÍLIA - ASA SUL,205,6 Andares,"150,00 m²",,,,,,,,
1129,CLN 306,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-306-263495,1.100,"50,00",22,1,,,583,BRASÍLIA - ASA NORTE,,,"50,00 m²",,,,,,,,
1130,CA 07,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-07-13213,750,"30,00",25,1,,,120,BRASÍLIA - LAGO NORTE,85,2 Andares,,,,,,,,,
1131,QMSW 6,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-6-116359,900,"33,00",27,1,,1,352,BRASÍLIA - SUDOESTE,,,,,,,,,,,
1132,SQS 215 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-215-bloco-e-560832,4.300,"113,00",38,3,1,,1.003,BRASÍLIA - ASA SUL,186,,,,,,,,,,
1133,SHCGN 716 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-shcgn-716-bloco-a-504784,2.100,"60,00",35,2,,,550,BRASÍLIA - ASA NORTE,,5 Andares,,,,,Nascente,,3° Andar,,
1134,QC 1 Rua E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-1-rua-e-587124,2.000,"50,00",40,2,,1,304,BRASÍLIA - JARDINS MANGUEIRAL,,,,,,,,,,,
1135,SQS 213 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-213-bloco-h-569876,6.500,"190,00",34,4,1,2,1.900,BRASÍLIA - ASA SUL,4.205,,"190,00 m²",,,,,,,,
1136,SCRN 716 Bloco C,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-scrn-716-bloco-c-466911,1.000,"12,00",83,1,,,318,BRASÍLIA - ASA NORTE,,,"23,00 m²",,,,,,,,
1137,SQNW 311 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-d-343142,2.500,"39,00",64,1,,1,406,BRASÍLIA - NOROESTE,1.440,,,,,,Poente,,1° Andar,,
1138,SQNW 309 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-309-bloco-b-190821,4.200,"82,00",51,2,1,2,608,BRASÍLIA - NOROESTE,203,,"82,00 m²",,,,,,,,
1139,SGAN 912,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sgan-912-598479,1.500,"25,00",60,1,,1,390,BRASÍLIA - ASA NORTE,899,,"25,00 m²",,,,,,,,
1140,SQS 309 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-309-bloco-h-587361,5.700,"180,00",31,4,1,1,1.500,BRASÍLIA - ASA SUL,,,,,,,,,,,
1141,SQN 104 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-104-bloco-e-596727,3.600,"118,00",30,2,1,1,900,BRASÍLIA - ASA NORTE,308,6 Andares,"177,18 m²",,,,,,2° Andar,,
1142,CLSW 304 Bloco C,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-clsw-304-bloco-c-474120,1.100,"41,00",26,1,,,373,BRASÍLIA - SUDOESTE,2.621,,,,,,,,,,
1143,SQNW 311 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-e-576684,2.500,"34,00",73,1,,1,411,BRASÍLIA - NOROESTE,102,,"34,00 m²",,,,,,,,
1144,SQN 314 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-314-bloco-e-485622,3.200,"70,00",45,2,,,636,BRASÍLIA - ASA NORTE,,,,,,,,,,,
1145,SQN 112 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-112-bloco-i-410882,6.900,"131,00",52,3,1,1,792,BRASÍLIA - ASA NORTE,346,,"131,00 m²",,,,,,,,
1146,SCRN 716 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-716-bloco-a-553901,2.600,"60,00",43,1,,,577,BRASÍLIA - ASA NORTE,350,4 Andares,,,,,Nascente,Vazado,4° Andar,,
1147,SQS 212 Bloco J 1º ANDAR,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-212-bloco-j-521962,13.900,"253,00",54,4,3,4,2.157,BRASÍLIA - ASA SUL,300,6 Andares,,,,,Nascente,Frente,1° Andar,,
1148,CA 05 Mobiliada (CONDOMÍNIO e IPTU) Incluso 2º ANDAR  - VARANDAS,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-05-391550,1.550,"34,00",45,1,,1,,BRASÍLIA - LAGO NORTE,,2 Andares,,VARANDAS,,,Nascente,Frente,4° Andar,,
1149,QMSW 5,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-565332,1.060,"28,00",37,1,,,200,BRASÍLIA - SUDOESTE,60,3 Andares,"38,00 m²",,,,,,,,
1150,CLN 113 Bloco A,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-113-bloco-a-14214,550,"19,00",28,1,,,240,BRASÍLIA - ASA NORTE,1.217,,"24,00 m²",,,,,,,,
1151,AOS 04 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-octogonal-brasilia-df-aos-04-bloco-a-541077,2.800,"65,00",43,2,,1,780,BRASÍLIA - OCTOGONAL,1.446,,"65,00 m²",,,,,,,,
1152,CLN 409 Bloco A,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-409-bloco-a-521174,800,"28,00",28,1,,,155,BRASÍLIA - ASA NORTE,,,"44,00 m²",,,,,,,,
1153,SGAN 915 Módulo F,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-915-modulo-f-341571,1.650,"35,00",47,1,1,1,394,BRASÍLIA - ASA NORTE,175,,"35,00 m²",,,,,,,,
1154,SGAN 912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-912-593105,950,"28,00",33,1,,1,360,BRASÍLIA - ASA NORTE,116,,,,,,,,1° Andar,,
1155,SQN 308 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-308-bloco-i-467772,6.500,"130,00",50,3,1,,1.100,BRASÍLIA - ASA NORTE,,,,,,,,,,,
1156,SGCV Lote 13   - Vista Park Sul Hplus Long Stay,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-13-586796,1.600,"30,00",53,1,,1,554,BRASÍLIA - PARK SUL,,,"38,00 m²",Vista Park Sul Hplus Long Stay,,,Perpendicular,Frente,8° Andar,,
1157,"SMAS Conj.2, Bloco B  - The Union",https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-sul-brasilia-df-smas-594841,2.000,"41,00",48,1,1,1,550,BRASÍLIA - PARK SUL,850,3 Andares,,The Union,,,Perpendicular,Frente,1° Andar,,
1158,SHCGN 709 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-shcgn-709-bloco-e-558814,2.900,"65,00",44,2,,,460,BRASÍLIA - ASA NORTE,,,,,,,,,,,
1159,SQSW 105,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-105-595051,4.500,"151,00",29,3,1,1,870,BRASÍLIA - SUDOESTE,2.376,,"151,00 m²",,,,,,,,
1160,SMPW Quadra 13 Conjunto 6,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-park-way-brasilia-df-smpw-quadra-13-conjunto-6-601097,2.700,"65,00",41,2,,1,200,BRASÍLIA - PARK WAY,,,"70,00 m²",,,,,,,,
1161,CA 09,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-09-578365,980,"26,00",37,1,,,368,BRASÍLIA - LAGO NORTE,126,,,,,,,,,,
1162,CRNW 510   - ED. SUNSET,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-noroeste-brasilia-df-crnw-510-197228,2.450,"30,43",80,1,,1,335,BRASÍLIA - NOROESTE,104,,,ED. SUNSET,,,Nascente,,,,
1163,SQS 103 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sqs-103-bloco-e-597903,2.500,"37,00",67,1,,,400,BRASÍLIA - ASA SUL,1.178,,,,,,,,,,
1164,SQNW 309,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-309-568766,5.800,"101,00",57,3,1,1,925,BRASÍLIA - NOROESTE,,6 Andares,"153,00 m²",,,,,,1° Andar,,
1165,AOS 08 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-octogonal-brasilia-df-aos-08-bloco-d-23305,3.200,"78,00",41,3,1,1,,BRASÍLIA - OCTOGONAL,142,6 Andares,,,,,,,,,
1166,SQN 205,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-205-569994,6.700,"120,00",55,4,2,1,926,BRASÍLIA - ASA NORTE,2.480,6 Andares,,,,,,,,,
1167,SQN 111 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-111-bloco-h-355267,3.850,"119,00",32,3,1,1,816,BRASÍLIA - ASA NORTE,338,,"119,00 m²",,,,Nascente,Frente,,,
1168,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-414010,1.850,"34,97",52,1,1,1,320,BRASÍLIA - LAGO NORTE,187,4 Andares,,,,,Poente,,1° Andar,,
1169,SQS 315,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-315-552650,4.200,"144,00",29,3,,1,1.250,BRASÍLIA - ASA SUL,,,"144,00 m²",,,,,,6° Andar,,
1170,CA 02,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-354222,1.250,"29,00",43,1,1,1,253,BRASÍLIA - LAGO NORTE,164,,,,,,,,,,
1171,SHTN,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-394688,2.000,"32,00",62,1,,1,494,BRASÍLIA - ASA NORTE,,,,,,,,,,,
1172,CCSW 4 Lote 4 Bloco D,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-lote-4-bloco-d-598417,1.300,"25,00",52,1,1,1,357,BRASÍLIA - SUDOESTE,128,,"25,00 m²",,,,,,,,
1173,SQN 110 Bloco M,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-110-bloco-m-519701,4.700,"110,00",42,3,1,1,962,BRASÍLIA - ASA NORTE,286,,"110,00 m²",,,,,,,,
1174,SCRN 712/713 Bloco G PRÉDIO COM ELEVADOR,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-712-713-bloco-g-405318,1.100,"38,00",28,1,,,400,BRASÍLIA - ASA NORTE,,2 Andares,,,,,Perpendicular,Lateral,1° Andar,,
1175,SQNW 103 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-103-bloco-c-554160,15.000,"262,00",57,4,4,3,2.200,BRASÍLIA - NOROESTE,5.800,,"262,00 m²",,,,,,1° Andar,,
1176,SQS 316,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-316-602656,6.600,"158,00",41,3,1,1,1.320,BRASÍLIA - ASA SUL,,6 Andares,,,,,,,,,
1177,CLSW 101 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-clsw-101-bloco-a-516244,1.000,"35,00",28,1,,,270,BRASÍLIA - SUDOESTE,1.370,,,,,,,,1° Andar,,
1178,SQNW 109 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-109-bloco-i-603195,4.200,"73,00",57,2,1,2,550,BRASÍLIA - NOROESTE,2.238,,"73,00 m²",,,,,,,,
1179,SEPS 712/912 ED. GRAND VILLE - VISTA LIVRE,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-478118,1.200,"27,00",44,1,,1,345,BRASÍLIA - ASA SUL,625,,,,,,,,,,
1180,SQS 303 BLOCO J,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-303-bloco-j-124559,6.200,"110,00",56,3,1,1,1.070,BRASÍLIA - ASA SUL,412,,"110,00 m²",,,,,,,,
1181,QMSW 4 Lote 09 Via Master,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-4-562157,1.700,"40,00",42,1,1,1,433,BRASÍLIA - SUDOESTE,75,,"40,00 m²",,,,,,2° Andar,,
1182,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-183079,1.300,"25,00",52,1,,1,306,BRASÍLIA - ASA SUL,617,5 Andares,,,,,,,,,
1183,SGCV Lote 13   - Vista Park Sul Suítes,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-13-248063,1.700,"28,00",60,1,,1,510,BRASÍLIA - PARK SUL,91,10 Andares,,Vista Park Sul Suítes,"7.500,00 m²",,,Frente,7° Andar,16,
1184,CLN 408 Bloco E,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-408-bloco-e-117884,600,"23,00",26,1,,,243,BRASÍLIA - ASA NORTE,95,,"23,00 m²",,,,,,,,
1185,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-231106,1.200,"28,00",42,1,,1,345,BRASÍLIA - ASA SUL,,,"28,00 m²",,,,,,,,
1186,QMSW 6 Edifício Madison,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-6-591179,1.700,"58,00",29,1,1,1,570,BRASÍLIA - SUDOESTE,,,,,,,,,,,
1187,SGAN 911,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sgan-911-12738,830,"25,00",33,1,,1,423,BRASÍLIA - ASA NORTE,902,,"65,00 m²",,"65,00 m²",,,,,,
1188,CLNW 10/11 Lote C,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-noroeste-brasilia-df-clnw-10-11-lote-c-572111,1.700,"30,00",56,1,,1,507,BRASÍLIA - NOROESTE,,,,,,,,,,,
1189,SGCV,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-park-sul-brasilia-df-sgcv-579696,6.200,"107,00",57,4,1,2,1.050,BRASÍLIA - PARK SUL,1.300,,"107,00 m²",,,,,,1° Andar,,
1190,SQS 311 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-311-bloco-d-175038,4.100,"108,00",37,3,1,1,958,BRASÍLIA - ASA SUL,394,,"108,00 m²",,,,,,,,
1191,SQS 304 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-304-bloco-c-400129,3.600,"130,00",27,3,,,,BRASÍLIA - ASA SUL,531,,,,,,,,1° Andar,,
1192,CLN 116 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-116-bloco-c-462848,1.000,"43,00",23,1,,,185,BRASÍLIA - ASA NORTE,,,"43,00 m²",,,,,,,,
1193,SQSW 306 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-306-bloco-d-193809,4.000,"107,00",37,3,,1,792,BRASÍLIA - SUDOESTE,,,"107,00 m²",,,,,,,,
1194,QMSW 6 Lote 8,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-6-lote-8-346617,1.250,"30,00",41,1,,1,308,BRASÍLIA - SUDOESTE,,,"30,00 m²",,,,,,,,
1195,SQS 207 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-207-bloco-d-560243,5.000,"190,00",26,3,2,1,,BRASÍLIA - ASA SUL,401,,,,,,,,,,
1196,SQS 406,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-406-586044,3.350,"78,00",42,3,1,,500,BRASÍLIA - ASA SUL,,3 Andares,"78,00 m²",,"78,00 m²",,Perpendicular,Vazado,2° Andar,,
