,name,link,price,area,valueperm2,Quartos,Suítes,Garagens,Condomínio R$,Cidade,IPTU R$,Total de Andar do Empreendimento,Área Total,Nome do Edifício,Área Terreno,Aceita Permuta,Posição do Sol,Posição do Imóvel,Andar do Apartamento,Unidades no Andar,Aceita Financiamento
29,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-594165,1.300,"24,00",54,1,,,291,BRASÍLIA - ASA SUL,52,,,,,,,,,,
30,SQS 106 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-106-bloco-e-516971,3.100,"115,00",26,2,1,,881,BRASÍLIA - ASA SUL,2.027,,,,,,,,,,
31,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-432460,3.400,"26,00",130,1,1,1,410,BRASÍLIA - SUDOESTE,,,,ED. PORTAL MASTER,,,,,,,
32,SQN 109,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-109-570799,4.200,"103,00",40,2,1,1,873,BRASÍLIA - ASA NORTE,1.702,,,,,,,,,,
33,SQNW 103,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-103-573066,16.500,"204,00",80,3,3,4,2.111,BRASÍLIA - NOROESTE,,6 Andares,,,,,,,,,
34,SQN 210,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-210-394998,4.000,"123,00",32,3,1,1,1.200,BRASÍLIA - ASA NORTE,2.100,,,,,,,,,,
35,CLSW 300B Bloco 3 Leonardo Center,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-clsw-300b-bloco-3-506720,2.000,"30,00",66,1,,1,388,BRASÍLIA - SUDOESTE,88,,,,"30,00 m²",,,,,,
36,SQS 316 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-316-bloco-b-570378,5.500,"158,00",34,3,1,1,1.500,BRASÍLIA - ASA SUL,,6 Andares,"197,00 m²",,,,Nascente,,4° Andar,,
37,QMSW 5,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-287793,1.300,"26,00",50,1,,1,309,BRASÍLIA - SUDOESTE,,4 Andares,,,,,,,1° Andar,,
38,SQN 303 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-303-bloco-e-470731,13.000,"240,00",54,4,4,,1.700,BRASÍLIA - ASA NORTE,4.409,,,,,,,,,,
39,SQN 206 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-206-bloco-i-494368,4.200,"127,00",33,3,1,1,1.010,BRASÍLIA - ASA NORTE,,,,,,,,,,,
40,CLN 312 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-cln-312-bloco-b-600793,2.300,"77,00",29,3,,,120,BRASÍLIA - ASA NORTE,121,2 Andares,"77,00 m²",,"676,00 m²",,Poente,Frente,1° Andar,4,
