,name,link,price,area,Quartos,Suítes,Garagens,Condomínio R$,Cidade,setor
600,QMSW 5   - ED. BOULEVARD ANTARES,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-438130,1950,54,1.0,,1.0,330.0,BRASÍLIA - SUDOESTE,QMSW
601,SGAN 912 Módulo C,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-912-modulo-c-385667,1000,26,1.0,,1.0,330.0,BRASÍLIA - ASA NORTE,SGAN
602,SCLRN 716 Bloco G,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sclrn-716-bloco-g-411911,770,23,1.0,,,,BRASÍLIA - ASA NORTE,SCLRN
603,SHTN Trecho 1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-1-519559,2200,34,1.0,1.0,1.0,935.0,BRASÍLIA - ASA NORTE,SHTN
604,SQSW 101,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-101-387903,3700,98,3.0,1.0,1.0,700.0,BRASÍLIA - SUDOESTE,SQSW
605,SQS 407,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-407-45288,2000,60,2.0,,1.0,470.0,BRASÍLIA - ASA SUL,SQS
606,SQS 103 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sqs-103-bloco-f-583503,2000,50,1.0,,,310.0,BRASÍLIA - ASA SUL,SQS
607,SQSW 304,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-sqsw-304-506385,2650,70,2.0,,,885.0,BRASÍLIA - SUDOESTE,SQSW
608,CA 09,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-09-603391,2100,30,1.0,,1.0,,BRASÍLIA - LAGO NORTE,CA
609,SGCV Lote 13   - Vista Park Sul Hplus Long Stay,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-13-593727,1800,28,1.0,,,615.0,BRASÍLIA - PARK SUL,SGCV
610,SEPS 713/913 MÚLTIPLUS - DIRETO COM O PROPRIETÁRIO,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-288649,2050,35,1.0,,1.0,410.0,BRASÍLIA - ASA SUL,SEPS
611,Condomínio Ilhas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-condominio-ilhas-do-lago-568216,5900,73,2.0,1.0,2.0,1.535,BRASÍLIA - ASA NORTE,Condomínio
612,QRSW 2 Bloco B 6,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-qrsw-2-bloco-b-6-583119,2100,61,2.0,,,500.0,BRASÍLIA - SUDOESTE,QRSW
613,QMSW 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-4-436689,1100,40,1.0,,1.0,344.0,BRASÍLIA - SUDOESTE,QMSW
614,SCLRN 716 BLOCO,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sclrn-716-190945,1000,30,1.0,,,,BRASÍLIA - ASA NORTE,SCLRN
615,CLN 402,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-402-231126,1200,26,1.0,,,210.0,BRASÍLIA - ASA NORTE,CLN
